LOCATION_ID;Score_A;Risk_A;Score_B;Risk_B;TOTAL;Money_Value
29;0.2;0.126;0.2;0;0.63;0
6;0.2;0.086;0.2;0;0.43;0
11;0.4;0.484;0.2;0;1.21;0
31;0.2;0.034;0.2;0;0.17;0
18;0.2;0;0.2;0;0;0
14;0.2;0;0.2;0;0;0
36;0.2;0.014;0.2;0;0.07;0
18;0.6;3.066;0.6;32.256;58.87;48.56
39;0.6;1.476;0.4;2.688;9.18;0
39;0.6;2.43;0.6;12.996;25.71;18.45
39;0.6;1.686;0.2;0.92;7.41;8.44
25;0.6;2.658;0.6;36.882;65.9;39.65
39;0.6;2.088;0.6;10.71;21.33;9.53
8;0.6;2.172;0.6;26.568;47.9;44.67
8;0.6;2.604;0.6;14.478;28.47;3.42
12;0.6;2.172;0.4;3.348;11.99;0
11;0.6;1.866;0.6;68.382;117.08;26.64
9;0.4;0.66;0.6;12.516;22.51;16.91
12;0.6;2.058;0.2;0.306;4.96;0
9;0.6;2.304;0.6;59.202;102.51;12.9
12;0.6;4.452;0.6;69.522;123.29;6.79
12;0.6;4.242;0.6;21.288;42.55;8.76
2;0.6;1.956;0.4;2.22;8.81;0.21
13;0.6;2.304;0.6;86.634;148.23;19.68
13;0.6;3.3;0.6;55.956;98.76;14.27
5;0.4;0.76;0.6;21.024;36.94;16.19
5;0.6;2.1;0.6;9.654;19.59;5.03
5;0.4;0.584;0.2;0.15;2.21;0.11
38;0.6;2.76;0.6;32.994;59.59;14.1
5;0.6;4.458;0.6;47.7;86.93;102.39
11;0.6;2.106;0.6;31.734;56.4;4.26
4;0.6;3.39;0.6;40.296;72.81;27.23
4;0.4;0.532;0.2;0.07;1.68;0
31;0.6;3.27;0.6;42.654;76.54;59.18
4;0.4;0.692;0.4;2.256;7.37;13.35
16;0.6;3.612;0.6;81.414;141.71;89.64
22;0.6;1.932;0.6;33.384;58.86;80.8
16;0.6;1.446;0.4;2.112;7.69;8.95
16;0.6;1.704;0.6;38.946;67.75;124.59
16;0.4;0.7;0.2;0.114;2.32;0
16;0.6;1.308;0.6;18.486;32.99;5.8
16;0.6;1.956;0.2;0.562;6.07;21.6
40;0.6;2.658;0.6;30.792;55.75;145.97
8;0.6;3.366;0.6;59.598;104.94;76.47
19;0.6;2.34;0.6;16.752;31.82;47.6
19;0.6;1.314;0.2;0.136;2.87;28.4
19;0.4;0.624;0.4;5.856;16.2;25.97
14;0.6;2.718;0.6;52.758;92.46;85.81
20;0.6;2.982;0.6;25.314;47.16;45.37
19;0.6;1.278;0.2;0.118;2.72;0.76
19;0.6;2.196;0.6;9.282;19.13;1.43
19;0.4;0.656;0.2;0.038;1.83;1.59
29;0.6;2.94;0.6;59.226;103.61;82.99
32;0.6;3.408;0.6;40.428;73.06;86.7
9;0.6;2.394;0.6;55.23;96.04;15.14
30;0.6;2.082;0.6;28.242;50.54;31.38
15;0.6;1.608;0.6;22.992;41;7.17
15;0.6;1.278;0.6;25.584;44.77;18.24
2;0.6;2.568;0.6;758.778;1268.91;58.86
1;0.6;2.616;0.6;20.346;38.27;6.06
2;0.6;1.338;0.2;0.908;6.77;22.8
12;0.6;1.2;0.2;0.064;2.32;5.37
7;0.6;1.824;0.6;40.422;70.41;77.47
22;0.4;0.476;0.6;73.242;123.26;15.2
1;0.4;0.54;0.2;0;1.35;680.14
1;0.4;0.456;0.2;0;1.14;0.71
6;0.4;0.604;0.2;0;1.51;0
8;0.4;0.452;0.2;0;1.13;0
5;0.4;0.6;0.2;0;1.5;1.44
9;0.2;0.192;0.2;0;0.96;0
12;0.4;0.64;0.2;0;1.6;0
16;0.4;0.536;0.2;0;1.34;0
19;0.4;0.64;0.2;0;1.6;0.06
11;0.4;0.452;0.2;0;1.13;0.02
4;0.2;0;0.2;0;0;0
9;0.2;0;0.2;0;0;0
12;0.2;0.154;0.2;0;0.77;4.6
12;0.4;0.42;0.2;0;1.05;0
19;0.2;0;0.2;0;0;0
22;0.2;0;0.2;0;0;30.85
16;0.2;0;0.2;0;0;0
15;0.2;0;0.2;0;0;0
15;0.2;0;0.2;0;0;0
32;0.2;0.168;0.2;0;0.84;8.21
13;0.2;0;0.2;0;0;0
19;0.2;0.17;0.2;0;0.85;0
5;0.2;0;0.2;0.056;0.28;0
6;0.2;0.122;0.2;0.014;0.68;0
8;0.2;0;0.2;0.124;0.62;0
18;0.6;2.058;0.4;0.4;4.43;49.31
11;0.4;0.652;0.6;3.516;7.49;3.69
1;0.6;2.25;0.4;0.5;5;11.25
8;0.6;1.374;0.6;1.584;4.93;3.08
6;0.6;1.506;0.6;5.154;11.1;16.03
16;0.6;1.326;0.6;3.126;7.42;3.43
12;0.6;1.332;0.6;3.738;8.45;0.89
9;0.4;0.668;0.2;0.078;2.06;1.43
13;0.6;1.554;0.2;0.132;3.25;1.28
22;0.6;1.434;0.6;4.632;10.11;5.42
32;0.6;2.052;0.6;6.33;13.97;6.96
27;0.6;2.166;0.6;1.278;5.74;5.41
4;0.4;0.744;0.6;2.706;6.37;7.27
19;0.4;0.76;0.6;4.782;9.87;8.6
14;0.6;1.974;0.6;3.846;9.7;3.66
15;0.6;1.56;0.4;0.456;3.74;8.76
8;0.6;2.286;0.6;6.912;15.33;3.25
9;0.6;1.26;0.6;3.036;7.16;5.41
5;0.6;1.332;0.6;2.04;5.62;26.28
31;0.2;0.192;0.2;0.024;1.08;0.22
38;0.2;0.162;0.6;2.76;5.41;1.82
8;0.4;0.5;0.2;0.004;1.27;0.82
12;0.4;0.66;0.2;0.004;1.67;27.99
18;0.4;0.66;0.2;0.004;1.67;2.47
19;0.6;1.278;0.2;0.022;2.24;7.54
28;0.2;0.088;0.2;0.004;0.46;27.1
28;0.4;0.524;0.2;0.024;1.43;0
12;0.2;0.078;0.2;0.028;0.53;0.58
19;0.4;0.4;0.4;0.44;2.1;0
12;0.2;0.084;0.2;0.054;0.69;0
6;0.4;0.428;0.2;0.118;1.66;0
28;0.4;0.516;0.2;0.05;1.54;0
5;0.2;0.004;0.2;0.174;0.89;0.04
6;0.4;0.584;0.2;0.11;2.01;0.67
19;0.2;0.168;0.2;0.012;0.9;0.72
8;0.2;0.132;0.4;0.548;2.03;0.84
8;0.2;0.106;0.6;3.24;5.93;0.72
6;0.2;0.078;0.2;0.094;0.86;0
19;0.2;0.102;0.2;0.094;0.98;0
12;0.2;0.094;0.2;0.058;0.76;0.07
35;0.6;2.01;0.2;0.198;4.34;0.12
28;0.2;0.064;0.2;0.098;0.81;6.73
28;0.2;0.102;0.2;0;0.51;0
4;0.2;0;0.2;0;0;0.05
9;0.2;0.062;0.2;0.138;1;0
32;0.2;0.122;0.4;0.616;2.15;0.57
5;0.2;0.052;0.2;0.034;0.43;0
2;0.2;0.146;0.2;0.01;0.78;6.14
2;0.2;0;0.2;0;0;0
16;0.4;0.508;0.4;0.404;2.28;1.15
19;0.4;0.648;0.2;0.098;2.11;0
5;0.4;0.616;0.2;0.092;2;0.57
2;0.6;1.308;0.2;0.186;3.11;0
2;0.6;4.554;0.4;0.588;9.06;36.29
2;0.2;0.152;0.2;0.068;1.1;0
16;0.2;0.076;0.2;0.17;1.23;0.04
5;0.4;0.516;0.2;0.026;1.42;0
19;0.4;0.796;0.2;0.126;2.62;0
31;0.2;0;0.2;0;0;0
4;0.2;0.004;0.2;0.01;0.07;0
5;0.2;0.028;0.2;0.016;0.22;0
18;0.2;0.018;0.2;0;0.09;0
9;0.2;0;0.2;0;0;0
32;0.2;0;0.2;0;0;0
16;0.2;0.002;0.2;0.0014;0.017;0
16;0.2;0.034;0.2;0.008;0.21;0
2;0.4;0.664;0.2;0.166;2.49;0.31
2;0.2;0.1;0.2;0.008;0.54;0
2;0.2;0.18;0.2;0.058;1.19;1.22
2;0.2;0;0.2;0;0;0.23
2;0.6;34.218;0.6;80.598;191.36;844.37
8;0.2;0.116;0.2;0;0.58;0
12;0.4;0.608;0.2;0;1.52;6.96
6;0.2;0.18;0.2;0;0.9;1.95
6;0.4;0.476;0.2;0;1.19;0
25;0.2;0.106;0.2;0;0.53;2.33
40;0.2;0.186;0.2;0;0.93;0.11
8;0.4;0.756;0.2;0;1.89;0
8;0.4;0.684;0.2;0;1.71;0.09
LOHARU;0.2;0.06;0.2;0;0.3;0
31;0.2;0.152;0.2;0;0.76;7.48
4;0.2;0.192;0.2;0;0.96;9.45
14;0.4;0.504;0.2;0;1.26;0
NUH;0.2;0.11;0.2;0;0.55;0.67
5;0.2;0.058;0.2;0;0.29;0.06
5;0.4;0.508;0.2;0;1.27;2.77
5;0.4;0.536;0.2;0;1.34;0
5;0.2;0.112;0.2;0;0.56;1.75
20;0.2;0.172;0.2;0;0.86;0
19;0.4;0.648;0.2;0;1.62;0
19;0.6;1.812;0.2;0;3.02;0
19;0.2;0.118;0.2;0;0.59;0
22;0.4;0.44;0.2;0;1.1;0
9;0.4;0.412;0.2;0;1.03;27.28
30;0.2;0.132;0.2;0;0.66;0.73
SAFIDON;0.2;0.096;0.2;0;0.48;0.47
11;0.4;0.508;0.2;0;1.27;175.9
12;0.2;0.086;0.2;0;0.43;13.54
12;0.4;0.66;0.2;0;1.65;0.01
8;0.4;0.56;0.2;0;1.4;0
8;0.4;0.456;0.2;0;1.14;41.82
8;0.2;0.09;0.2;0;0.45;0
27;0.2;0.12;0.2;0;0.6;0
29;0.2;0.17;0.2;0;0.85;0
9;0.4;0.476;0.2;0;1.19;29.76
32;0.4;0.492;0.2;0;1.23;0.11
32;0.4;0.448;0.2;0;1.12;0.05
16;0.4;0.612;0.2;0;1.53;0.03
16;0.2;0.154;0.2;0;0.77;0
16;0.2;0.112;0.2;0;0.56;0
16;0.4;0.728;0.2;0;1.82;85.13
16;0.2;0.088;0.2;0;0.44;0.04
15;0.4;0.584;0.2;0;1.46;0
15;0.4;0.448;0.2;0;1.12;10.98
13;0.4;0.624;0.2;0;1.56;0.1
13;0.2;0;0.2;0;0;0
18;0.2;0;0.2;0;0;0
2;0.6;6.744;0.6;5.694;20.73;173.02
6;0.6;2.22;0.2;0;3.7;0.12
6;0.6;5.118;0.2;0.032;8.69;0.52
6;0.2;0.094;0.4;0.636;2.06;1.24
8;0.2;0.19;0.4;0.532;2.28;0.07
8;0.6;7.89;0.4;0.652;14.78;1.19
8;0.6;1.902;0.2;0.088;3.61;0
8;0.6;4.212;0.4;0.708;8.79;0
16;0.2;0;0.2;0;0;0
8;0.2;0.19;0.2;0;0.95;0.13
8;0.2;0;0.2;0;0;10.53
16;0.6;5.514;0.6;2.52;13.39;0.52
19;0.6;5.484;0.4;0.488;10.36;0
6;0.2;0.052;0.2;0;0.26;0
31;0.6;1.83;0.2;0.01;3.1;0
4;0.2;0.112;0.6;43.2;72.56;0.51
4;0.6;1.776;0.2;0.03;3.11;0
31;0.6;1.488;0.2;0;2.48;0
14;0.6;5.964;0.2;0.088;10.38;0.15
14;0.6;3.078;0.2;0.018;5.22;0.01
43;0.6;1.494;0.2;0.058;2.78;0.49
5;0.6;4.332;0.2;0.056;7.5;0
5;0.2;0.142;0.2;0.132;1.37;0
19;0.6;11.526;0.6;1.482;21.68;0
19;0.2;0.036;0.2;0;0.18;0
19;0.6;3.54;0.2;0;5.9;0.74
19;0.6;2.424;0.2;0;4.04;0.79
19;0.6;1.686;0.2;0.022;2.92;19.45
19;0.6;3.522;0.2;0;5.87;0.44
19;0.4;0.7;0.2;0;1.75;0.35
19;0.6;1.23;0.2;0;2.05;3.53
19;0.2;0;0.2;0;0;0.04
16;0.6;2.202;0.2;0.036;3.85;0
9;0.2;0.128;0.2;0.19;1.59;0
9;0.6;4.422;0.4;0.656;9.01;0.08
9;0.6;6.474;0.2;0.134;11.46;0.04
11;0.6;6.012;0.2;0.19;10.97;0.43
11;0.2;0.088;0.2;0.124;1.06;0.64
12;0.6;1.734;0.2;0.022;3;0.04
12;0.2;0.12;0.4;0.456;1.74;0.43
8;0.2;0.158;0.4;0.404;1.8;0.57
8;0.6;1.956;0.2;0.072;3.62;0.02
8;0.6;5.364;0.4;0.528;10.26;0.02
27;0.6;2.76;0.4;0.468;5.77;0.04
29;0.6;4.206;0.4;0.448;8.13;0.1
29;0.4;0.416;0.2;0.182;1.95;0.37
9;0.6;1.686;0.2;0.082;3.22;0
9;0.2;0.14;0.2;0.12;1.3;0.51
32;0.2;0.156;0.2;0.194;1.75;0.97
32;0.6;4.254;0.4;0.78;9.04;0
32;0.4;0.556;0.4;0.44;2.49;0
8;0.6;1.476;0.2;0.074;2.83;0
4;0.6;1.488;0.2;0.02;2.58;0
15;0.4;0.512;0.4;0.7;3.03;0
15;0.6;2.298;0.2;0.056;4.11;0
15;0.6;2.244;0.2;0.11;4.29;0
15;0.6;6.864;0.4;0.564;12.85;0.04
13;0.6;2.994;0.2;0.128;5.63;0
13;0.6;4.95;0.4;0.636;9.84;0.02
13;0.2;0.05;0.4;0.72;2.05;0.74
18;0.6;4.32;0.2;0.086;7.63;0.01
18;0.2;0.146;0.4;0.496;1.97;0.2
43;0.6;3.12;0.2;0;5.2;0
19;0.4;0.464;0.2;0;1.16;0.11
19;0.2;0;0.2;0;0;0.19
6;0.2;0.13;0.2;0.006;0.68;0.14
6;0.2;0.158;0.2;0;0.79;3.54
19;0.6;1.968;0.2;0.05;3.53;0.04
19;0.2;0.18;0.2;0;0.9;0.13
9;0.6;3;0.2;0.108;5.54;0
9;0.6;4.242;0.2;0.144;7.79;0
14;0.4;0.432;0.4;0.792;3.06;3.92
13;0.6;2.076;0.2;0.018;3.55;0.06
22;0.2;0.12;0.4;0.432;1.68;0.33
22;0.6;2.352;0.4;0.432;5;0
22;0.6;4.704;0.6;1.686;10.65;0
8;0.2;0.198;0.2;0;0.99;0
2;0.2;0.034;0.2;0.022;0.28;0
19;0.6;27.138;0.6;21.708;81.41;0
11;0.4;0.676;0.2;0.042;1.9;0
43;0.2;0.036;0.2;0.126;0.81;0
31;0.2;0.002;0.2;0.182;0.92;0
16;0.2;0.176;0.4;0.6;2.38;0.19
2;0.4;0.468;0.2;0.03;1.32;0
8;0.2;0;0.2;0;0;0
16;0.2;0;0.2;0;0;0
8;0.2;0;0.2;0;0;0.2
6;0.2;0;0.2;0;0;0
19;0.2;0;0.2;0;0;0
19;0.2;0.198;0.2;0.022;1.1;0
8;0.2;0.042;0.2;0;0.21;0
14;0.6;1.32;0.2;0.056;2.48;0
2;0.6;1.986;0.2;0.034;3.48;0
4;0.6;1.458;0.2;0.054;2.7;0
12;0.6;8.346;0.2;0.1;14.41;0.19
1;0.4;0.684;0.2;0;1.71;88.4
1;0.4;0.452;0.6;2.31;4.98;20.89
2;0.6;10.518;0.2;0;17.53;94.75
4;0.2;0.112;0.2;0.14;1.26;0
8;0.2;0.112;0.2;0.016;0.64;0.05
2;0.6;2.37;0.2;0;0;83.96
4;0.2;0;0.2;0;0;0
5;0.2;0;0.2;0;0;0
2;0.2;0;0.2;0;0;0
19;0.2;0;0.2;0;0;0
2;0.6;12.39;0.2;0;0;397.31
1;0.6;2.238;0.6;1.692;6.55;160.41
19;0.2;0;0.2;0;0;23.97
1;0.6;1.512;0.6;12.168;22.8;70.56
2;0.6;1.884;0.6;3.408;8.82;11.33
6;0.2;0.176;0.4;0.428;1.95;0.76
8;0.2;0.16;0.2;0.164;1.62;1.32
4;0.2;0.14;0.2;0.144;1.42;0
5;0.2;0;0.2;0.078;0.39;0.24
5;0.2;0.066;0.2;0;0.33;0
5;0.2;0.056;0.2;0.032;0.44;0
14;0.2;0.038;0.2;0.054;0.46;0.65
19;0.2;0.106;0.2;0.124;1.15;0.01
19;0.2;0.092;0.2;0.176;1.34;0.58
19;0.2;0.062;0.2;0.056;0.59;0
9;0.6;51;0.4;0.424;86.06;0
11;0.2;0.15;0.2;0.18;1.65;1.4
12;0.2;0.17;0.2;0.186;1.78;0
8;0.2;0.068;0.2;0.072;0.7;0.03
8;0.2;0.132;0.2;0.162;1.47;0.03
9;0.2;0.118;0.2;0.138;1.28;0
32;0.2;0.122;0.2;0.126;1.24;0
16;0.2;0.144;0.2;0.16;1.52;0.02
16;0.2;0.074;0.2;0.02;0.47;0
16;0.2;0.124;0.2;0.142;1.33;0.08
15;0.2;0.196;0.4;0.456;2.12;0
13;0.2;0.064;0.2;0;0.32;0
13;0.2;0.112;0.2;0.126;1.19;0.09
18;0.2;0.108;0.2;0.112;1.1;0.8
29;0.2;0.126;0.2;0.138;1.32;0.32
22;0.2;0.074;0.2;0.092;0.83;0
14;0.2;0;0.2;0;0;0
8;0.2;0.058;0.2;0.066;0.62;0
4;0.2;0.134;0.2;0.152;1.43;0
19;0.2;0.086;0.2;0;0.43;0
2;0.2;0.134;0.2;0.15;1.42;0.39
5;0.2;0.168;0.4;0.436;1.93;0
43;0.2;0.104;0.2;0.136;1.2;0
8;0.2;0.076;0.2;0.096;0.86;0.33
12;0.2;0.038;0.2;0.046;0.42;0
16;0.2;0.054;0.2;0.07;0.62;0
32;0.2;0.068;0.2;0.054;0.61;0
22;0.2;0.004;0.2;0.132;0.68;0
31;0.2;0;0.2;0;0;0.03
4;0.2;0;0.2;0;0;0
1;0.4;0.776;0.6;4.014;8.63;13.3
8;0.2;0;0.2;0;0;0.29
39;0.2;0;0.2;0;0;3.3
4;0.2;0.054;0.2;0;0.27;16.09
5;0.2;0;0.2;0;0;1.44
19;0.2;0.006;0.2;0;0.03;1.66
9;0.2;0;0.2;0;0;0.19
11;0.2;0;0.2;0;0;0.7
12;0.2;0.01;0.2;0;0.05;0.63
8;0.2;0;0.2;0;0;0.93
29;0.2;0.006;0.2;0;0.03;1.22
2;0.2;0;0.2;0;0;1.2
9;0.2;0.002;0.2;0.022;0.12;1.03
32;0.2;0;0.2;0;0;2.86
16;0.2;0.006;0.2;0;0.03;1.55
15;0.2;0;0.2;0;0;2.39
13;0.2;0.014;0.2;0;0.07;10.4
18;0.2;0;0.2;0;0;1.3
4;0.2;0.062;0.2;0;0.31;0
4;0.2;0.03;0.2;0;0.15;0.05
4;0.2;0;0.2;0;0;0
4;0.2;0.002;0.2;0;0.01;0.6
5;0.2;0.03;0.2;0;0.15;0
19;0.2;0.04;0.2;0.056;0.48;0
9;0.2;0.012;0.2;0;0.06;0
9;0.2;0.06;0.2;0;0.3;0
9;0.2;0;0.2;0;0;0
32;0.2;0;0.2;0;0;0
7;0.2;0.058;0.2;0;0.29;0.04
13;0.2;0.096;0.2;0;0.48;0
21;0.2;0.078;0.2;0.078;0.78;0.17
21;0.2;0.042;0.2;0;0.21;0.33
1;0.2;0;0.2;0;0;0
21;0.2;0.084;0.2;0;0.42;0
28;0.2;0.008;0.2;0;0.04;0.22
14;0.2;0;0.2;0.044;0.22;0
